,도고 아르헨티노_1,도고 아르헨티노_2,도고 아르헨티노_3,도고 아르헨티노_4,도고 아르헨티노_5,도고 아르헨티노_6,도고 아르헨티노_7,도고 아르헨티노_8,도고 아르헨티노_9,도고 아르헨티노_10,도고 아르헨티노_11,도고 아르헨티노_12,도고 아르헨티노_13,도고 아르헨티노_14,도고 아르헨티노_15,도고 아르헨티노_16,도고 아르헨티노_17,도고 아르헨티노_18,도고 아르헨티노_19,도고 아르헨티노_20
Mammal,92.46417999267578,94.8975830078125,96.03312683105469,92.85040283203125,93.43317413330078,0.0,98.70565032958984,96.76232147216797,98.40416717529297,66.88605499267578,92.0443344116211,78.66864013671875,87.74090576171875,92.4718017578125,93.22809600830078,84.65886688232422,90.9896469116211,88.79240417480469,91.76475524902344,95.40914154052734
Canine,92.46417999267578,0.0,95.05879211425781,92.85040283203125,91.60055541992188,0.0,98.70565032958984,96.76232147216797,98.40416717529297,60.08037185668945,92.0443344116211,78.66864013671875,87.74090576171875,92.4718017578125,93.22809600830078,64.38603210449219,84.36030578613281,86.81949615478516,91.76475524902344,95.40914154052734
Animal,92.46417999267578,94.8975830078125,96.03312683105469,92.85040283203125,93.43317413330078,98.2376480102539,98.70565032958984,96.76232147216797,98.40416717529297,72.29375457763672,92.0443344116211,81.86091613769531,87.74090576171875,92.4718017578125,93.22809600830078,84.65886688232422,90.9896469116211,88.79240417480469,91.76475524902344,95.40914154052734
Pet,90.21916198730469,0.0,94.01482391357422,90.78776550292969,87.7242202758789,0.0,98.70565032958984,95.64334869384766,98.40416717529297,62.2927131652832,92.0443344116211,81.86091613769531,86.12147521972656,91.48529815673828,93.22809600830078,65.64482879638672,83.55506896972656,83.43949127197266,89.94100952148438,95.40914154052734
Bulldog,89.72972106933594,0.0,0.0,0.0,77.83206176757812,0.0,98.70565032958984,0.0,0.0,0.0,92.0443344116211,0.0,83.3723373413086,86.51311492919922,93.22809600830078,0.0,59.5070915222168,64.8331298828125,85.1138687133789,95.40914154052734
Dog,89.72972106933594,0.0,92.2691879272461,81.248291015625,87.7242202758789,0.0,98.70565032958984,86.13276672363281,98.40416717529297,0.0,92.0443344116211,0.0,83.3723373413086,90.78160095214844,93.22809600830078,0.0,82.26078796386719,83.23786163330078,89.94100952148438,95.40914154052734
Pitbull,79.39240264892578,0.0,0.0,0.0,0.0,0.0,98.70565032958984,0.0,0.0,0.0,92.0443344116211,0.0,83.3723373413086,66.01139068603516,93.22809600830078,0.0,0.0,60.625816345214844,75.24649810791016,95.40914154052734
Person,72.96701049804688,0.0,0.0,70.05332946777344,0.0,0.0,66.35884857177734,99.85261535644531,87.27347564697266,99.36532592773438,0.0,92.49427795410156,80.38475799560547,0.0,75.45671844482422,81.58222961425781,0.0,0.0,0.0,0.0
Human,72.96701049804688,0.0,0.0,70.05332946777344,0.0,0.0,66.35884857177734,99.85261535644531,87.27347564697266,99.36532592773438,0.0,92.49427795410156,80.38475799560547,0.0,75.45671844482422,81.58222961425781,0.0,0.0,0.0,0.0
Boxer,70.38646697998047,0.0,0.0,0.0,77.83206176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.44283294677734,86.51311492919922,74.20594024658203,0.0,55.314605712890625,61.099609375,82.8902359008789,61.99392318725586
Horse,0.0,92.0325927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.60145568847656,0.0,0.0,0.0
Soccer,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sports,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,0.0,80.30973052978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt Horse,0.0,59.7899169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andalusian Horse,0.0,56.29806137084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,0.0,56.53284454345703,0.0,60.02804183959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,81.248291015625,67.07505798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Dane,0.0,0.0,0.0,67.45886993408203,0.0,0.0,0.0,0.0,98.40416717529297,0.0,0.0,0.0,0.0,57.667335510253906,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,74.04503631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9896469116211,72.67543029785156,0.0,0.0
Reptile,0.0,0.0,0.0,0.0,0.0,98.2376480102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dinosaur,0.0,0.0,0.0,0.0,0.0,98.2376480102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-Rex,0.0,0.0,0.0,0.0,0.0,86.74483489990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,77.03221893310547,0.0,0.0,0.0,0.0,0.0,0.0,71.26692199707031,0.0,0.0,0.0,62.923709869384766,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,77.03221893310547,0.0,0.0,0.0,0.0,0.0,55.15306854248047,71.26692199707031,0.0,0.0,0.0,62.923709869384766,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,65.11595916748047,0.0,0.0,0.0,0.0,0.0,55.15306854248047,69.06807708740234,0.0,0.0,0.0,56.73294448852539,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,56.78816223144531,0.0,0.0,0.0,94.66188049316406,83.21355438232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halter,0.0,0.0,0.0,0.0,0.0,0.0,55.71015548706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gear,0.0,0.0,0.0,0.0,0.0,0.0,55.71015548706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.13276672363281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.48877716064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brochure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58655548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58655548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58655548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58655548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58655548095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.09943389892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.38911437988281,0.0,0.0,0.0,81.58222961425781,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.99290466308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.13010787963867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.94279479980469,0.0,0.0,0.0,0.0,59.85264587402344,0.0,0.0
Alloy Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.61496353149414,0.0,0.0,0.0,0.0,0.0,0.0
Car Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.09083557128906,0.0,0.0,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.09083557128906,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.77444839477539,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.77444839477539,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.616477966308594,0.0
