,미니어처 슈나우저_1,미니어처 슈나우저_2,미니어처 슈나우저_3,미니어처 슈나우저_4,미니어처 슈나우저_5,미니어처 슈나우저_6,미니어처 슈나우저_7,미니어처 슈나우저_8,미니어처 슈나우저_9,미니어처 슈나우저_10,미니어처 슈나우저_11,미니어처 슈나우저_12,미니어처 슈나우저_13,미니어처 슈나우저_14,미니어처 슈나우저_15,미니어처 슈나우저_16,미니어처 슈나우저_17,미니어처 슈나우저_18,미니어처 슈나우저_19,미니어처 슈나우저_20
Mammal,91.9535903930664,98.94825744628906,98.44633483886719,94.577880859375,95.0058364868164,96.86714172363281,96.662109375,92.0253677368164,99.80964660644531,96.28479766845703,94.92683410644531,94.63008880615234,92.40518188476562,91.45035552978516,85.88546752929688,91.85334777832031,94.4098129272461,70.83058166503906,90.68206787109375,89.8501968383789
Animal,91.9535903930664,98.94825744628906,98.44633483886719,94.577880859375,95.0058364868164,96.86714172363281,96.662109375,92.0253677368164,99.80964660644531,96.28479766845703,94.92683410644531,94.63008880615234,92.40518188476562,91.45035552978516,85.88546752929688,91.85334777832031,94.4098129272461,70.83058166503906,91.01538848876953,89.89361572265625
Sports,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team Sport,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Team,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Football,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball,90.07345581054688,0.0,0.0,0.0,0.0,0.0,0.0,84.58831787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,89.03649139404297,98.94825744628906,98.44633483886719,92.47929382324219,95.0058364868164,96.86714172363281,96.662109375,90.54371643066406,99.80964660644531,96.28479766845703,94.92683410644531,94.63008880615234,92.40518188476562,90.29962921142578,85.0455093383789,91.2554931640625,94.4098129272461,64.51687622070312,91.01538848876953,89.89361572265625
Canine,86.90078735351562,98.94825744628906,98.44633483886719,94.35350799560547,95.0058364868164,96.86714172363281,96.662109375,92.0253677368164,99.80964660644531,96.28479766845703,94.92683410644531,94.63008880615234,92.40518188476562,91.45035552978516,85.88546752929688,91.85334777832031,94.4098129272461,65.81132507324219,90.68206787109375,89.8501968383789
Dog,83.22453308105469,98.94825744628906,98.44633483886719,92.47929382324219,95.0058364868164,96.86714172363281,96.662109375,78.77214050292969,99.80964660644531,96.28479766845703,94.92683410644531,94.63008880615234,92.40518188476562,89.56776428222656,83.06449127197266,91.2554931640625,94.4098129272461,61.976348876953125,89.38229370117188,88.93753051757812
Puppy,83.22453308105469,98.94825744628906,98.44633483886719,0.0,0.0,96.86714172363281,94.5555419921875,0.0,73.83919525146484,0.0,83.81856536865234,0.0,61.040122985839844,0.0,65.28545379638672,88.73861694335938,0.0,0.0,70.48300170898438,55.93364334106445
Husky,58.80186462402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.32987213134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,72.56802368164062,0.0,0.0,0.0,55.60121154785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,60.690269470214844,60.06801986694336,64.32489776611328,84.31359100341797,73.04210662841797,88.65377044677734,0.0,80.34069061279297,56.67916488647461,0.0,0.0,0.0,70.409912109375,0.0,82.77381896972656,0.0,0.0,0.0,81.85899353027344
Grass,0.0,0.0,80.321533203125,0.0,79.59056854248047,0.0,0.0,57.947452545166016,0.0,0.0,0.0,0.0,0.0,94.33350372314453,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,80.321533203125,0.0,79.59056854248047,0.0,0.0,57.947452545166016,0.0,0.0,0.0,0.0,0.0,94.33350372314453,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,66.51475524902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1769905090332,73.95368194580078,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,56.95328903198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.63458251953125,0.0,0.0,59.514892578125,0.0,0.0,0.0,0.0,62.895633697509766,0.0
Field,0.0,0.0,55.9444694519043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.31700897216797,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,55.9444694519043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13777542114258,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,0.0,86.7730712890625,95.0058364868164,0.0,0.0,62.494041442871094,76.13566589355469,96.28479766845703,0.0,94.63008880615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,0.0,60.60921859741211,66.23616790771484,0.0,0.0,0.0,0.0,69.68284606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,63.326358795166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19415283203125,0.0,0.0,0.0,0.0,0.0,86.11134338378906,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.19415283203125,0.0,0.0,0.0,0.0,0.0,86.11134338378906,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00148010253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.00148010253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4255599975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.08817672729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.08817672729492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.40518188476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.564056396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.564056396484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.84343719482422,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0212173461914,0.0,0.0,0.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.49063110351562,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3647689819336,0.0,0.0,0.0,0.0,0.0
Graphics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.556827545166016,0.0,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.556827545166016,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.37930297851562,56.59689712524414,57.14179611206055,0.0
Toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79228973388672,91.19580841064453,0.0,0.0
Teddy Bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79228973388672,89.10458374023438,0.0,0.0
Couch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9017562866211,0.0,57.14179611206055,0.0
Bed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7320327758789,56.59689712524414,0.0,0.0
Plush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.03005981445312,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.438697814941406,0.0,0.0,0.0
Basket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.359466552734375,0.0
