,보스턴 테리어_1,보스턴 테리어_2,보스턴 테리어_3,보스턴 테리어_4,보스턴 테리어_5,보스턴 테리어_6,보스턴 테리어_7,보스턴 테리어_8,보스턴 테리어_9,보스턴 테리어_10,보스턴 테리어_11,보스턴 테리어_12,보스턴 테리어_13,보스턴 테리어_14,보스턴 테리어_15,보스턴 테리어_16,보스턴 테리어_17,보스턴 테리어_18,보스턴 테리어_19,보스턴 테리어_20
Canine,92.46417999267578,95.8550033569336,96.12651824951172,99.99828338623047,99.36202239990234,99.39257049560547,99.92884826660156,99.67082977294922,99.84867858886719,98.4333724975586,99.8666000366211,99.7267074584961,98.86613464355469,92.91647338867188,61.797508239746094,73.48866271972656,91.39905548095703,99.95896911621094,99.43305969238281,98.86691284179688
Mammal,92.46417999267578,95.8550033569336,96.12651824951172,99.99828338623047,99.36202239990234,99.39257049560547,99.92884826660156,99.67082977294922,99.84867858886719,98.4333724975586,99.8666000366211,99.7267074584961,98.86613464355469,92.91647338867188,61.797508239746094,89.80956268310547,95.46267700195312,99.95896911621094,99.43305969238281,98.86691284179688
Animal,92.46417999267578,95.8550033569336,96.12651824951172,99.99828338623047,99.36202239990234,99.39257049560547,99.92884826660156,99.67082977294922,99.84867858886719,98.4333724975586,99.8666000366211,99.7267074584961,98.86613464355469,93.68701934814453,61.907196044921875,90.74982452392578,95.46267700195312,99.95896911621094,99.43305969238281,98.86691284179688
Pet,90.21916198730469,95.8550033569336,96.12651824951172,99.99828338623047,99.36202239990234,99.39257049560547,99.92884826660156,99.67082977294922,99.84867858886719,98.4333724975586,99.8666000366211,99.7267074584961,98.86613464355469,91.3714828491211,61.907196044921875,81.10511016845703,89.69514465332031,99.95896911621094,99.43305969238281,98.86691284179688
Dog,89.72972106933594,95.8550033569336,96.12651824951172,99.99828338623047,99.36202239990234,99.39257049560547,99.92884826660156,99.67082977294922,99.84867858886719,98.4333724975586,99.8666000366211,99.7267074584961,98.86613464355469,91.14564514160156,61.797508239746094,56.21949768066406,88.99036407470703,99.95896911621094,99.43305969238281,98.86691284179688
Bulldog,89.72972106933594,0.0,0.0,99.99828338623047,96.69982147216797,97.28389739990234,99.92884826660156,91.37288665771484,99.84867858886719,92.77823638916016,99.8666000366211,99.7267074584961,98.86613464355469,72.30644989013672,61.797508239746094,0.0,0.0,99.95896911621094,99.43305969238281,98.86691284179688
Pitbull,79.39240264892578,0.0,0.0,0.0,0.0,0.0,0.0,55.358245849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,72.96701049804688,63.206295013427734,69.4148941040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.57747650146484,0.0,0.0,0.0,0.0
Human,72.96701049804688,63.206295013427734,69.4148941040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.57747650146484,0.0,0.0,0.0,0.0
Boxer,70.38646697998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.176109313964844,0.0,0.0,0.0,0.0,0.0,0.0
Pug,0.0,95.8550033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sitting,0.0,58.74800491333008,0.0,0.0,0.0,80.79684448242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,58.16318893432617,96.12651824951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.45480346679688,0.0,55.81612014770508,0.0
Hound,0.0,0.0,77.2553482055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.21949768066406,0.0,0.0,0.0,0.0
Boston Bull,0.0,0.0,0.0,99.99828338623047,96.69982147216797,97.28389739990234,99.92884826660156,86.89117431640625,99.84867858886719,92.77823638916016,99.8666000366211,99.7267074584961,98.86613464355469,0.0,61.797508239746094,0.0,0.0,99.95896911621094,99.43305969238281,98.86691284179688
French Bulldog,0.0,0.0,0.0,0.0,73.4485855102539,55.02664566040039,0.0,57.45317840576172,0.0,0.0,0.0,57.76996612548828,87.80138397216797,0.0,0.0,0.0,0.0,0.0,0.0,89.45316314697266
Strap,0.0,0.0,0.0,0.0,66.19091796875,0.0,0.0,0.0,0.0,0.0,68.24895477294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,56.425350189208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Figurine,0.0,0.0,0.0,0.0,0.0,58.95912551879883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07767486572266,0.0,0.0,0.0,0.0,0.0,0.0,90.35848236083984,0.0,0.0,0.0,0.0,0.0
Lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.07767486572266,0.0,0.0,0.0,0.0,0.0,0.0,90.35848236083984,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.31968688964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.891273498535156,0.0
Appenzeller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.002906799316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Dessert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0310287475586,0.0,0.0,0.0,0.0,0.0
Eating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.35879516601562,0.0,0.0,0.0,0.0,0.0
Teeth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.99313354492188,0.0,0.0,0.0,0.0,0.0
Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.679256439208984,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11225128173828,0.0,0.0,0.0,0.0
Label,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.11225128173828,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28840637207031,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28840637207031,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46267700195312,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1681137084961,0.0,0.0,0.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.25489807128906,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.59220886230469,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Pants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45384216308594,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57810592651367,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57810592651367,0.0,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.35355758666992,0.0
