,소프트 코티드 휘튼 테리어_1,소프트 코티드 휘튼 테리어_2,소프트 코티드 휘튼 테리어_3,소프트 코티드 휘튼 테리어_4,소프트 코티드 휘튼 테리어_5,소프트 코티드 휘튼 테리어_6,소프트 코티드 휘튼 테리어_7,소프트 코티드 휘튼 테리어_8,소프트 코티드 휘튼 테리어_9,소프트 코티드 휘튼 테리어_10,소프트 코티드 휘튼 테리어_11,소프트 코티드 휘튼 테리어_12,소프트 코티드 휘튼 테리어_13,소프트 코티드 휘튼 테리어_14,소프트 코티드 휘튼 테리어_15,소프트 코티드 휘튼 테리어_16,소프트 코티드 휘튼 테리어_17,소프트 코티드 휘튼 테리어_18,소프트 코티드 휘튼 테리어_19,소프트 코티드 휘튼 테리어_20
Pillow,99.2974624633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,99.2974624633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canine,99.07782745361328,67.9610824584961,93.99748992919922,0.0,92.5252685546875,95.4671401977539,93.1120376586914,96.20771026611328,96.06490325927734,88.00320434570312,92.55512237548828,86.42243957519531,92.10426330566406,94.38041687011719,84.5417251586914,89.31243896484375,92.75440216064453,93.01659393310547,98.34939575195312,88.59632110595703
Pet,99.07782745361328,73.09943389892578,95.21717071533203,0.0,92.5252685546875,95.4671401977539,92.81855010986328,96.20771026611328,96.06490325927734,88.00320434570312,92.83480834960938,84.51329040527344,91.89036560058594,94.46165466308594,82.98018646240234,88.41143798828125,93.2324447631836,93.25029754638672,98.34939575195312,90.10311889648438
Animal,99.07782745361328,92.3769760131836,95.21717071533203,84.74945831298828,92.5252685546875,95.4671401977539,93.1120376586914,96.20771026611328,96.06490325927734,88.00320434570312,92.83480834960938,86.42243957519531,92.10426330566406,94.46165466308594,84.5417251586914,89.31243896484375,93.2324447631836,93.25029754638672,98.34939575195312,92.34188842773438
Dog,99.07782745361328,62.024497985839844,93.62459564208984,0.0,92.5252685546875,95.4671401977539,92.81855010986328,96.20771026611328,96.06490325927734,88.00320434570312,91.81967163085938,83.78899383544922,91.3402099609375,93.50331115722656,81.80267333984375,86.18164825439453,92.33280944824219,93.01331329345703,98.34939575195312,85.77692413330078
Mammal,99.07782745361328,92.3769760131836,93.99748992919922,83.0473403930664,92.5252685546875,95.4671401977539,93.1120376586914,96.20771026611328,96.06490325927734,88.00320434570312,92.55512237548828,86.42243957519531,92.10426330566406,94.38041687011719,84.5417251586914,89.31243896484375,92.75440216064453,93.01659393310547,98.34939575195312,92.07698822021484
Puppy,98.53633117675781,0.0,75.2303466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.80267333984375,0.0,63.370338439941406,80.53463745117188,0.0,78.8185043334961
Furniture,89.9468765258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61294174194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,88.41763305664062,0.0,78.8932876586914,0.0,73.47345733642578,95.4671401977539,92.81855010986328,96.20771026611328,96.06490325927734,88.00320434570312,80.7846450805664,70.98175048828125,74.92859649658203,79.0332260131836,0.0,75.312255859375,81.78791046142578,64.31559753417969,98.34939575195312,0.0
Couch,76.2859878540039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61294174194336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bed,56.97392272949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beak,55.644432067871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,55.644432067871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,57.67456817626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2537841796875,0.0,0.0,0.0,0.0,0.0,58.704063415527344
White Dog,0.0,0.0,57.83012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,56.7122917175293,0.0,92.5252685546875,0.0,0.0,0.0,0.0,0.0,73.18236541748047,63.70248031616211,0.0,56.06386184692383,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.81845092773438,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,95.48637390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.81845092773438,0.0,0.0,0.0,0.0,0.0
Word,0.0,0.0,0.0,86.65850830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,0.0,0.0,0.0,56.77275466918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,56.02336883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airedale,0.0,0.0,0.0,0.0,0.0,0.0,67.50462341308594,77.40843200683594,68.86848449707031,65.48403930664062,0.0,0.0,0.0,59.201637268066406,0.0,0.0,0.0,0.0,70.19593811035156,0.0
Grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8582534790039,0.0,0.0,0.0,75.52175903320312,0.0,0.0,0.0,88.42337036132812,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8582534790039,0.0,0.0,0.0,78.59059143066406,0.0,0.0,0.0,88.42337036132812,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.04754638671875,87.23698425292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.04754638671875,87.23698425292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.63870239257812,71.20927429199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.76036071777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.96975708007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.59059143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidewalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75125885009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.75125885009766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0923843383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.36246109008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.36246109008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.36246109008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.28997802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89529418945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.38111114501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.29656982421875,0.0,0.0,0.0,0.0,58.893829345703125,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52642822265625,0.0,0.0,0.0,0.0,0.0
Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.48958587646484,0.0,0.0,0.0,0.0,0.0
Photo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.84605407714844,0.0,0.0,0.0,0.0,0.0
Photography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.84605407714844,0.0,0.0,0.0,0.0,0.0
People,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7958984375,0.0,0.0,0.0,0.0,0.0
Girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4216079711914,0.0,0.0,0.0,0.0,0.0
Face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.78499221801758,0.0,0.0,0.0,0.0,0.0
Portrait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.78499221801758,0.0,0.0,0.0,0.0,0.0
Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.26485824584961,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.279788970947266,85.25230407714844,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.84639739990234,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81290817260742,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81290817260742,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.180606842041016,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.180606842041016,0.0,0.0,0.0,0.0
Tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.86442565917969,0.0,0.0,0.0,0.0
Beagle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.931217193603516
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31015396118164
