,시베리언 허스키_1,시베리언 허스키_2,시베리언 허스키_3,시베리언 허스키_4,시베리언 허스키_5,시베리언 허스키_6,시베리언 허스키_7,시베리언 허스키_8,시베리언 허스키_9,시베리언 허스키_10,시베리언 허스키_11,시베리언 허스키_12,시베리언 허스키_13,시베리언 허스키_14,시베리언 허스키_15,시베리언 허스키_16,시베리언 허스키_17,시베리언 허스키_18,시베리언 허스키_19,시베리언 허스키_20
Golden Retriever,97.43425750732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mammal,97.43425750732422,97.71006774902344,96.32661437988281,99.34899139404297,99.9276123046875,99.89033508300781,99.33607482910156,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,80.54335021972656,90.9747085571289,99.4756851196289,99.94032287597656,98.28237915039062,95.60591888427734,0.0
Dog,97.43425750732422,0.0,94.59591674804688,99.34899139404297,99.9276123046875,99.89033508300781,99.33607482910156,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,0.0,0.0,99.4756851196289,99.94032287597656,98.28237915039062,92.20038604736328,0.0
Canine,97.43425750732422,77.98989868164062,96.32661437988281,99.34899139404297,99.9276123046875,99.89033508300781,99.33607482910156,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,0.0,78.70274353027344,99.4756851196289,99.94032287597656,98.28237915039062,92.20038604736328,0.0
Animal,97.43425750732422,97.71006774902344,96.32661437988281,99.34899139404297,99.9276123046875,99.89033508300781,99.33607482910156,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,80.54335021972656,92.89503479003906,99.4756851196289,99.94032287597656,98.28237915039062,95.60591888427734,0.0
Pet,97.43425750732422,0.0,95.84396362304688,99.34899139404297,99.9276123046875,99.89033508300781,99.33607482910156,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,68.4225082397461,0.0,99.4756851196289,99.94032287597656,98.28237915039062,92.20038604736328,0.0
Flame,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonfire,65.4062728881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,57.98565673828125,0.0,0.0,59.56623458862305,0.0,0.0,0.0,57.107540130615234,0.0,93.1759033203125,0.0,0.0,0.0,0.0,0.0,56.0313720703125,0.0,0.0,0.0,0.0
Wolf,0.0,97.71006774902344,59.762454986572266,75.43193054199219,0.0,0.0,95.15591430664062,0.0,56.90286636352539,0.0,59.40059280395508,0.0,0.0,0.0,58.28533172607422,0.0,56.266544342041016,96.30545806884766,95.60591888427734,0.0
Red Wolf,0.0,77.98989868164062,0.0,0.0,0.0,0.0,56.87836837768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.78672409057617,62.209999084472656,0.0
Coyote,0.0,66.03168487548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,0.0,61.04939270019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4461898803711,0.0,0.0,0.0,0.0,0.0
Jaguar,0.0,61.04939270019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopard,0.0,61.04939270019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panther,0.0,61.04939270019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,0.0,85.70426940917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.937870025634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,0.0,78.55815887451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.150211334228516,0.0,0.0,0.0,0.0,73.31996154785156,0.0,0.0,0.0,0.0
Husky,0.0,0.0,0.0,99.34899139404297,99.9276123046875,99.89033508300781,80.37822723388672,99.82808685302734,99.83003234863281,96.2538833618164,99.89295196533203,99.91064453125,97.23577117919922,0.0,0.0,99.4756851196289,99.94032287597656,82.16381072998047,92.20038604736328,0.0
Cat,0.0,0.0,0.0,0.0,80.66641998291016,0.0,0.0,86.9964828491211,0.0,75.9704360961914,0.0,0.0,75.53118896484375,68.4225082397461,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0225601196289,0.0,0.0,0.0,0.0,0.0,0.0,91.197998046875
Veterinarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.943572998046875,0.0,0.0,0.0,0.0,0.0,0.0,58.70317077636719
Floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.86198425292969,0.0,0.0,0.0,0.0,0.0,0.0
Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.92082214355469,0.0,0.0,0.0,0.0,0.0,0.0
Hardwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.14180755615234,0.0,0.0,0.0,0.0,0.0,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.650596618652344,0.0,0.0,0.0,0.0,0.0,0.0
Arctic Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.84182739257812,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.84182739257812,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.97384643554688,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.97384643554688,0.0,0.0,0.0,0.0
Clinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.81848907470703
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53451538085938
Chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.53451538085938
Operating Theatre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86044692993164
Hospital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86044692993164
