,요크셔 테리어_1,요크셔 테리어_2,요크셔 테리어_3,요크셔 테리어_4,요크셔 테리어_5,요크셔 테리어_6,요크셔 테리어_7,요크셔 테리어_8,요크셔 테리어_9,요크셔 테리어_10,요크셔 테리어_11,요크셔 테리어_12,요크셔 테리어_13,요크셔 테리어_14,요크셔 테리어_15,요크셔 테리어_16,요크셔 테리어_17,요크셔 테리어_18,요크셔 테리어_19,요크셔 테리어_20
Animal,93.58352661132812,97.8748779296875,96.23704528808594,91.91386413574219,97.31097412109375,99.83662414550781,99.34028625488281,95.82691192626953,83.4859390258789,96.54447174072266,99.43435668945312,99.11669921875,94.20413970947266,98.08309936523438,98.16903686523438,99.5415267944336,93.88642883300781,92.1685562133789,95.84169006347656,93.38469696044922
Mammal,92.55064392089844,97.8748779296875,96.23704528808594,91.7379379272461,97.31097412109375,99.83662414550781,99.34028625488281,95.82691192626953,79.2065200805664,96.54447174072266,99.43435668945312,99.11669921875,92.87930297851562,98.08309936523438,98.16903686523438,99.5415267944336,91.93681335449219,92.1685562133789,95.84169006347656,93.38469696044922
Canine,83.9980239868164,97.8748779296875,96.23704528808594,89.26419830322266,97.31097412109375,99.83662414550781,99.34028625488281,95.82691192626953,72.69536590576172,96.54447174072266,99.43435668945312,99.11669921875,88.7381591796875,98.08309936523438,98.16903686523438,99.5415267944336,87.74778747558594,92.1685562133789,95.84169006347656,93.38469696044922
Dog,80.5764389038086,97.8748779296875,96.23704528808594,85.85554504394531,97.31097412109375,99.83662414550781,99.34028625488281,95.82691192626953,0.0,96.54447174072266,99.43435668945312,99.11669921875,74.44091033935547,98.08309936523438,98.16903686523438,99.5415267944336,87.74778747558594,91.44187927246094,95.84169006347656,93.07491302490234
Hound,80.5764389038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pet,80.5764389038086,97.8748779296875,96.23704528808594,87.31919860839844,97.31097412109375,99.83662414550781,99.34028625488281,95.82691192626953,83.27975463867188,96.54447174072266,99.43435668945312,99.11669921875,93.3788070678711,98.08309936523438,98.16903686523438,99.5415267944336,93.88642883300781,91.95819091796875,95.84169006347656,93.07491302490234
Horse,71.11448669433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wildlife,61.20265579223633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertisement,58.98670196533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poster,57.3953742980957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bull,56.80982971191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,55.85248565673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,0.0,97.8748779296875,96.23704528808594,76.16655731201172,87.03965759277344,69.0352554321289,57.44021987915039,95.82691192626953,0.0,66.2804183959961,81.73056030273438,73.15676879882812,74.44091033935547,97.81045532226562,98.16903686523438,99.5415267944336,87.74778747558594,77.30886840820312,95.84169006347656,93.07491302490234
Nature,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,96.44064331054688,0.0,0.0,0.0,60.00264358520508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snowman,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow,0.0,96.44064331054688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,0.0,58.022769927978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eskimo Dog,0.0,55.9917106628418,61.23329162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor,0.0,0.0,94.6942138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poodle,0.0,0.0,0.0,71.89315032958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrier,0.0,0.0,0.0,0.0,97.31097412109375,81.40784454345703,70.34951782226562,0.0,0.0,85.88816833496094,97.4844970703125,96.65668487548828,55.23680114746094,94.4265365600586,0.0,80.22915649414062,0.0,58.309303283691406,64.39021301269531,89.6760482788086
Airedale,0.0,0.0,0.0,0.0,84.33013153076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grass,0.0,0.0,0.0,0.0,0.0,99.65382385253906,0.0,0.0,0.0,0.0,91.91119384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,99.65382385253906,0.0,0.0,0.0,0.0,91.91119384765625,71.69022369384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawn,0.0,0.0,0.0,0.0,0.0,73.36498260498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strap,0.0,0.0,0.0,0.0,0.0,69.16950225830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,0.0,0.0,0.0,0.0,0.0,60.00264358520508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Field,0.0,0.0,0.0,0.0,0.0,60.00264358520508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,91.21453857421875,96.12564849853516,0.0,0.0,0.0,0.0,84.28211212158203,0.0,83.58204650878906,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,91.21453857421875,96.12564849853516,0.0,0.0,0.0,0.0,84.28211212158203,0.0,83.58204650878906,0.0,0.0,0.0,0.0,0.0
Barefoot,0.0,0.0,0.0,0.0,0.0,0.0,57.34416198730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88615798950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.15283203125,0.0,0.0,0.0,0.0
Beak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.88615798950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.42333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.19857788085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.32121276855469,0.0,0.0,0.0
Affenpinscher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.74210357666016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pillow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.535709381103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.535709381103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36204528808594,0.0,0.0,0.0,0.0,0.0
Kitten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.15220642089844,0.0,0.0,0.0
Papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.72829818725586,0.0,0.0
Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.72829818725586,0.0,0.0
Cocker Spaniel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.72829818725586,0.0,0.0
