,제주개_1,제주개_2,제주개_3,제주개_4,제주개_5,제주개_6,제주개_7,제주개_8,제주개_9,제주개_10,제주개_11,제주개_12,제주개_13,제주개_14,제주개_15,제주개_16,제주개_17,제주개_18,제주개_19,제주개_20
Animal,94.05121612548828,92.8118896484375,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,92.0272216796875,95.21025848388672,91.46510314941406,85.34346008300781,87.13169860839844,88.0522689819336,94.88518524169922,94.58191680908203
Mammal,93.19149017333984,90.02081298828125,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,91.21166229248047,95.21025848388672,91.46510314941406,85.1765365600586,86.93034362792969,88.0522689819336,94.65904998779297,94.58191680908203
Canine,93.19149017333984,90.02081298828125,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,90.05713653564453,95.21025848388672,91.46510314941406,85.1765365600586,86.93034362792969,88.0522689819336,94.65904998779297,94.58191680908203
Pet,91.52787780761719,89.3326416015625,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,90.82003784179688,95.21025848388672,90.0992202758789,85.34346008300781,87.13169860839844,86.90460968017578,94.88518524169922,94.58191680908203
Dog,90.80262756347656,88.68195343017578,97.93095397949219,98.75019836425781,99.3452377319336,86.1555404663086,73.00944519042969,99.6476821899414,98.29556274414062,90.5666275024414,85.77227783203125,96.23878479003906,87.53020477294922,95.21025848388672,89.76667785644531,82.450927734375,85.91417694091797,84.56381225585938,93.84009552001953,94.58191680908203
Pig,76.42085266113281,0.0,97.14836883544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puppy,74.83857727050781,0.0,64.54452514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68426513671875,66.34161376953125,55.94265365600586,0.0,57.17013931274414,0.0,0.0,0.0
Husky,61.3097038269043,0.0,0.0,0.0,0.0,0.0,0.0,58.64550018310547,0.0,0.0,0.0,94.00318145751953,87.53020477294922,0.0,0.0,72.43302917480469,85.91417694091797,0.0,89.27632141113281,0.0
Eskimo Dog,55.85179138183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.61588668823242,0.0,0.0,0.0,55.84977340698242,0.0,80.44684600830078,0.0
Wolf,0.0,69.64202880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,69.64202880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,56.93788528442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Retriever,0.0,0.0,97.93095397949219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.21025848388672,88.80521392822266,0.0,0.0,0.0,0.0,94.58191680908203
Strap,0.0,0.0,0.0,99.39559936523438,99.60946655273438,99.4832992553711,99.9635238647461,0.0,99.76211547851562,66.65412139892578,99.99019622802734,77.57550048828125,0.0,0.0,0.0,82.45136260986328,68.99909210205078,75.16829681396484,0.0,0.0
Leash,0.0,0.0,0.0,75.3573989868164,66.80794525146484,83.26727294921875,88.67913055419922,0.0,67.83880615234375,0.0,93.79106140136719,0.0,0.0,0.0,0.0,57.222171783447266,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,66.49954223632812,0.0,0.0,64.17054748535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clothing,0.0,0.0,0.0,0.0,0.0,59.48418426513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparel,0.0,0.0,0.0,0.0,0.0,59.48418426513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4381103515625,57.07999038696289,88.70064544677734,0.0,84.29596710205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29825592041016
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.67719650268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.91432189941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.61013793945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0342788696289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.80242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.81724166870117,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.46602630615234,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.46602630615234,0.0,0.0,0.0
Alloy Wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.46602630615234,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.46602630615234,0.0,0.0,0.0
Brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.40567016601562,0.0,0.0,0.0
Walkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84449005126953,0.0,0.0,0.0
Path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84449005126953,0.0,0.0,0.0
Pottery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.11625671386719,0.0,0.0,0.0
Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.176448822021484,0.0,0.0,0.0
Bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9515151977539,0.0,0.0
Boxer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.447715759277344,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.86837387084961,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.59599304199219,0.0,0.0
White Dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1831283569336,0.0
