,필라 브라질레이로_1,필라 브라질레이로_2,필라 브라질레이로_3,필라 브라질레이로_4,필라 브라질레이로_5,필라 브라질레이로_6,필라 브라질레이로_7,필라 브라질레이로_8,필라 브라질레이로_9,필라 브라질레이로_10,필라 브라질레이로_11,필라 브라질레이로_12,필라 브라질레이로_13,필라 브라질레이로_14,필라 브라질레이로_15,필라 브라질레이로_16,필라 브라질레이로_17,필라 브라질레이로_18,필라 브라질레이로_19,필라 브라질레이로_20
Animal,97.86433410644531,90.70947265625,94.46277618408203,88.77831268310547,94.55464172363281,96.26737213134766,96.57308197021484,93.88656616210938,96.99188995361328,99.46586608886719,99.26237487792969,99.26876831054688,92.70277404785156,99.99073791503906,91.37594604492188,93.60527038574219,89.96479034423828,97.33834838867188,94.9368667602539,97.39666748046875
Boxer,97.86433410644531,0.0,0.0,0.0,84.85403442382812,96.26737213134766,0.0,71.2632064819336,96.99188995361328,99.46586608886719,99.26237487792969,0.0,92.70277404785156,0.0,91.37594604492188,0.0,0.0,0.0,94.9368667602539,0.0
Mammal,97.86433410644531,90.70947265625,94.46277618408203,87.05677032470703,94.55464172363281,96.26737213134766,96.57308197021484,93.88656616210938,96.99188995361328,99.46586608886719,99.26237487792969,83.08150482177734,92.70277404785156,99.99073791503906,91.37594604492188,93.60527038574219,89.96479034423828,97.33834838867188,94.9368667602539,97.39666748046875
Canine,97.86433410644531,90.70947265625,94.46277618408203,0.0,94.55464172363281,96.26737213134766,96.57308197021484,93.88656616210938,96.99188995361328,99.46586608886719,99.26237487792969,64.18915557861328,92.70277404785156,0.0,91.37594604492188,93.60527038574219,89.96479034423828,90.60308837890625,94.9368667602539,97.39666748046875
Pet,97.86433410644531,89.36212158203125,93.67111206054688,61.415260314941406,93.88960266113281,96.26737213134766,96.57308197021484,93.67675018310547,96.99188995361328,99.46586608886719,99.26237487792969,58.53656768798828,92.70277404785156,0.0,91.37594604492188,93.60527038574219,89.73681640625,90.60308837890625,94.9368667602539,97.39666748046875
Dog,97.86433410644531,87.34822082519531,93.67111206054688,0.0,93.52635955810547,96.26737213134766,96.57308197021484,93.020751953125,96.99188995361328,99.46586608886719,99.26237487792969,57.614620208740234,92.70277404785156,0.0,91.37594604492188,93.60527038574219,87.2036361694336,90.60308837890625,94.9368667602539,97.39666748046875
Bulldog,97.86433410644531,0.0,0.0,0.0,89.4183578491211,96.26737213134766,0.0,71.2632064819336,96.99188995361328,99.46586608886719,99.26237487792969,0.0,92.70277404785156,0.0,91.37594604492188,0.0,0.0,0.0,94.9368667602539,0.0
Great Dane,63.302825927734375,0.0,75.61612701416016,0.0,66.9769515991211,0.0,96.57308197021484,62.69131851196289,0.0,0.0,90.74298858642578,0.0,59.06828308105469,0.0,0.0,93.60527038574219,82.13095092773438,90.60308837890625,0.0,97.39666748046875
Person,0.0,97.4645004272461,0.0,0.0,0.0,92.42137908935547,0.0,0.0,0.0,83.67974853515625,0.0,0.0,68.2564697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human,0.0,97.4645004272461,0.0,0.0,0.0,92.42137908935547,0.0,0.0,0.0,83.67974853515625,0.0,0.0,68.2564697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Police Dog,0.0,87.34822082519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.97208023071289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,0.0,61.017520904541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.17284393310547,0.0,0.0,62.9332389831543,0.0,0.0
Grass,0.0,61.017520904541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.17284393310547,0.0,0.0,0.0,0.0,0.0
Hound,0.0,0.0,67.87067413330078,0.0,57.09886169433594,0.0,0.0,57.686153411865234,55.10471725463867,0.0,0.0,0.0,0.0,0.0,58.66689682006836,84.33255004882812,0.0,0.0,0.0,0.0
Labrador Retriever,0.0,0.0,62.264251708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunting,0.0,0.0,0.0,59.196556091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,0.0,0.0,56.68940734863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.63644027709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zoo,0.0,0.0,0.0,56.11301803588867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26876831054688,0.0,56.03267288208008,0.0,0.0,0.0,0.0,0.0,0.0
Pitbull,0.0,0.0,0.0,0.0,75.98587799072266,94.07539367675781,0.0,0.0,0.0,55.777591705322266,55.25247573852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machine,0.0,0.0,0.0,0.0,0.0,76.89705657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spoke,0.0,0.0,0.0,0.0,0.0,76.89705657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wheel,0.0,0.0,0.0,0.0,0.0,55.823673248291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5919075012207,0.0,0.0,99.99073791503906,0.0,0.0,0.0,97.33834838867188,0.0,0.0
Wildlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1841049194336,0.0,97.8841781616211,0.0,0.0,0.0,0.0,0.0,0.0
Den,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.06623840332031,0.0,0.0,0.0,0.0,65.59053802490234,0.0,0.0,0.0
Rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dog House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6086654663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Wolf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.63644027709961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8841781616211,0.0,0.0,0.0,0.0,0.0,0.0
Outdoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.34102630615234,0.0,0.0,67.77720642089844,0.0,0.0
German Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.28571319580078,0.0,0.0,0.0,0.0,0.0
Painting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.95161437988281,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.95161437988281,0.0,0.0,0.0
Nature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.77720642089844,0.0,0.0
Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.77720642089844,0.0,0.0
Tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9332389831543,0.0,0.0
Snout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.659881591796875,0.0
